R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
10,0.83,Tailored Approach,2.4819277108433737,0.4,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.707,1.791073543280771
1,0.39,CPI,1.0,0.4,0.8,,,,,,,
2,0.5,CPI,1.22,0.4,0.8,,,,,,,
3,0.5666666666666667,CPI,1.4294117647058824,0.4,0.8,,,,,,,
4,0.62,CPI,1.6505376344086022,0.4,0.8,,,,,,,
5,0.6466666666666666,CPI,1.788659793814433,0.4,0.8,,,,,,,
6,0.7,CPI,2.1095238095238096,0.4,0.8,,,,,,,
7,0.7333333333333333,CPI,2.331818181818182,0.4,0.8,,,,,,,
8,0.74,CPI,2.3828828828828827,0.4,0.8,,,,,,,
9,0.7566666666666667,CPI,2.5286343612334803,0.4,0.8,,,,,,,
10,0.7866666666666666,CPI,2.8135593220338984,0.4,0.8,,,,,,,
1,0.47333333333333333,Tailored Approach,1.0,0.4,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7059999999999998,1.7666676444895444
2,0.5466666666666666,Tailored Approach,1.1341463414634145,0.4,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7059999999999998,1.7666676444895444
3,0.6433333333333333,Tailored Approach,1.4145077720207253,0.4,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7059999999999998,1.7666676444895444
4,0.71,Tailored Approach,1.6572769953051643,0.4,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7059999999999998,1.7666676444895444
5,0.7466666666666667,Tailored Approach,1.8214285714285714,0.4,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7059999999999998,1.7666676444895444
6,0.7533333333333333,Tailored Approach,1.8584070796460177,0.4,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7059999999999998,1.7666676444895444
7,0.77,Tailored Approach,1.9696969696969697,0.4,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7059999999999998,1.7666676444895444
8,0.78,Tailored Approach,2.047008547008547,0.4,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7059999999999998,1.7666676444895444
9,0.81,Tailored Approach,2.3045267489711936,0.4,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7059999999999998,1.7666676444895444
10,0.8266666666666667,Tailored Approach,2.4596774193548385,0.4,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7059999999999998,1.7666676444895444
1,0.38666666666666666,CPI,1.0,0.4,0.75,,,,,,,
2,0.51,CPI,1.2418300653594772,0.4,0.75,,,,,,,
3,0.5666666666666667,CPI,1.4176470588235295,0.4,0.75,,,,,,,
4,0.63,CPI,1.6772486772486772,0.4,0.75,,,,,,,
5,0.6633333333333333,CPI,1.8442211055276383,0.4,0.75,,,,,,,
6,0.69,CPI,2.004830917874396,0.4,0.75,,,,,,,
7,0.7033333333333334,CPI,2.0995260663507107,0.4,0.75,,,,,,,
8,0.7266666666666667,CPI,2.2889908256880735,0.4,0.75,,,,,,,
9,0.74,CPI,2.40990990990991,0.4,0.75,,,,,,,
10,0.7633333333333333,CPI,2.6419213973799125,0.4,0.75,,,,,,,
1,0.47333333333333333,Tailored Approach,1.0,0.4,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7073333333333334,1.779213665610627
2,0.5466666666666666,Tailored Approach,1.1341463414634145,0.4,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7073333333333334,1.779213665610627
